LastName ,FirstName,ArtistGender,Title,Year,InteriorExterior ,Category,CategoryNum,Object Type,Material,MaterialNum,Neighborhood,NeighborhoodNum
Wodiczko,Krzysztof,Male ,Illumination Project for the Robert W. Healy Public Saftey Facility,2009,Exterior ,Electronic media ,1,Digital-Lighting installation ,"LED Lights, Metal, Computer Software",3,Lechmere/East Cambridge,6
Lyman ,Mela,Female ,"""Anxiety of Beauty: Revisiting the Fountian of Youth Mural""",2009,Exterior ,Mural ,2,Painting,Acrylic paint on MDO board,2,Mid-Cambridge,7
Eddy,Ellery,Female ,"""Engine Company No. 5""",1976,Exterior ,Mural ,2,Painting,Paint on brick,2,Mid-Cambridge,7
Driscoll,Ellen,Female ,"""Filament/Firmament""",2010,Interior ,Sculpture ,3,Mixed media,"Etched glass, zinc panels, textile, imagery ",4,Mid-Cambridge,7
Conley,Alston,Male ,"""Room of Maps""",1983,Interior ,Mural,2,Fresco ,Fresco ,1,Mid-Cambridge,7
Zeigler,Mel,Male ,"""Taking Note""",2013,Interior,Scuplture,3,Metal-Painted Aluminum,Painted Aluminum,2,Mid-Cambridge,7
Houck,Lisa,Female,"""The Bluefish is Good Tonight""",1987,Interior ,Mural,2,Painting-Acrylic on Aluminum Panels,Enamel paint on aluminum,2,Mid-Cambridge,7
Gillick,Liam,Male ,"""The Librarian Speaks""",2009,Exterior ,Sculpture,3,Metal-Painted Aluminium,Painted Aluminium,2,Mid-Cambridge,7
Glier,Michael,Male ,"""Town Green""",2004,Interior ,Mural ,2,Painting ,Acrylic on sheetrock ,2,Mid-Cambridge,7
Shores,Robin,Female,Untitled (bollard with crossed arms figure),1981,Exterior ,Sculpture ,3,Concrete ,Concrete ,1,Mid-Cambridge,7
Judelson,David,Male ,"""Brickworker and Ballplayer""",1983,Exterior ,Sculpture ,3,Masonary ,Handmade brick ,1,Porter Square,8
Fichter,David,Male ,"""Cambridge Senior Center Mural""",1986,Interior ,Mural,2,Painting ,Acrylic on concrete ,2,Porter Square,8
Fichter,David,Male ,"""Education is Liberation: Rosa Parks""",1985,Interior ,Mural,2,Painting ,Acrylic on brick ,2,Porter Square,8
Ryerson,Mitch,Male,"""Front Desk""",1988,Interior ,Sculpture ,3,Wood-Painted,"Birch, cherry and maple wood ",3,Porter Square,8
Lichtman,Linda,Female ,"""Landscape Frieze in Glass""",1990,Interior,Sculpture ,3,Stained glass,Stained glass,1,Porter Square,8
Katayama,Toshihiro,Male ,"""Porter Square Landscape Design""",2006,Exterior ,Sculpture ,3,Stone ,Boulders ,1,Porter Square,8
Hsu,Lillian,Female ,"""Sitting Coves""",2001,Interior ,Sculpture ,3,Mixed media,"Wood, paint, glass block",3,Porter Square,8
Jonas ,"Paul, Ramirez",Male ,"""Taylor Square""",2005,Exterior ,Sculpture ,3,Mixed media installation,"Painted Metal, Stone",2,Porter Square,8
Ukeles,Mierle,Female,"""Turnaround/Surround""",2001,Exterior ,Sculpture ,3,Concrete ,Concrete ,1,Porter Square,8
Rosenberg,Lilli Ann,Female ,"""Turtles""",1989,Exterior ,Sculpture ,3,"Mosaic-Mixed Media, Concrete ","Mixed Media, Concrete, Granite ",3,Porter Square,8
Thurston,Randal,Male ,"""Yerxa Road Underpass"" (ceramic tiles)",2006,Exterior ,Sculpture ,3,Tiles-Ceramic,Ceramic tiles,1,Porter Square,8
Maduna,Vusumuzi,Male ,"""Dr. Martin Luther King, Jr. Memorial""",1971,Interior ,Sculpture ,3,Mixed media ,"Plastic, painted metal, metal mesh ",3,Riverside,9
Maduna,Vusumuzi,Male ,"""Inner City Totem I""",1981,Exterior ,Sculpture ,3,Mixed media,"Steel, wood ",2,Riverside,9
Louden,Sharon ,Female ,"""Plantings on the Charles""",2009,Exterior ,Sculpture,3,Mixed media,Steel Wire and Reflectors,2,Riverside,9
Phillips,David,Male ,"""Stone Work""",1980,Exterior ,Sculpture ,3,Bronze ,"Bronze, granite ",2,Riverside,9
Dewart,Murray,Male ,"""The Late Flower Alphabet""",2003,Exterior ,Sculpture,3,Bronze ,Bronze ,1,Riverside,9
McKie,Judy ,Female ,"""Alley Cats""",2005,Exterior ,Sculpture ,3,Bronze ,Silicon bronze ,1,Wellington/Harrington,10
Coogan,Jay,Male ,"""Stop-Action-Frieze""",1997,Interior ,Sculpture ,3,Metal-Painted Aluminum,Painted Aluminum,2,Wellington/Harrington,10
